,Fault Source Name,Slip Rate,Lower Seismogenic Depth,Dip,Magnitude Scaling Relationship,Mmax (L),Mmax (P),Mmax (U)
292,FallaCerroRocoso,Pref,Lower,Upper,Lower,6.28,6.58,6.88
293,FallaChascoso,Pref,Lower,Upper,Lower,5.9,6.2,6.5
294,FallaChololo,Pref,Lower,Upper,Lower,6.98,7.28,7.58
295,FallaChulibaya,Pref,Lower,Upper,Lower,6.12,6.42,6.72
296,FallaCupine-pampaTrapiche,Pref,Lower,Upper,Lower,7.19,7.49,7.79
297,FallaMesacalane,Pref,Lower,Upper,Lower,6.14,6.44,6.74
298,FallaTambo,Pref,Lower,Upper,Lower,6.84,7.14,7.44
299,FallaToquepala,Pref,Lower,Upper,Lower,6.93,7.23,7.53
300,ZonadefallasCarumas-Calacoa,Pref,Lower,Upper,Lower,6.99,7.29,7.59
301,ZonadefallasCoralaque,Pref,Lower,Upper,Lower,6.63,6.93,7.23
302,ZonadefallasHuaynaputina,Pref,Lower,Upper,Lower,6.71,7.01,7.31
303,ZonadefallasIchuna,Pref,Lower,Upper,Lower,7.15,7.45,7.75
304,ZonadefallasPastoGrande,Pref,Lower,Upper,Lower,6.91,7.21,7.51
305,ZonadefallasTicsani-Suches,Pref,Lower,Upper,Lower,6.77,7.07,7.37
306,FallaPurgatorio,Lower,Upper,Upper,Upper,7.08,7.38,7.68
307,FallaIncapuquio,Lower,Upper,Upper,Upper,7.33,7.63,7.93
308,FallaMicalaco,Lower,Upper,Upper,Upper,6.85,7.15,7.45
309,FallaCerroRocoso,Lower,Upper,Upper,Upper,6.45,6.75,7.05
310,FallaChascoso,Lower,Upper,Upper,Upper,6.08,6.38,6.68
311,FallaChololo,Lower,Upper,Upper,Upper,7.16,7.46,7.76
312,FallaChulibaya,Lower,Upper,Upper,Upper,6.3,6.6,6.9
313,FallaCupine-pampaTrapiche,Lower,Upper,Upper,Upper,7.37,7.67,7.97
314,FallaMesacalane,Lower,Upper,Upper,Upper,6.31,6.61,6.91
315,FallaTambo,Lower,Upper,Upper,Upper,7.01,7.31,7.61
316,FallaToquepala,Lower,Upper,Upper,Upper,7.1,7.4,7.7
317,ZonadefallasCarumas-Calacoa,Lower,Upper,Upper,Upper,7.17,7.47,7.77
318,ZonadefallasCoralaque,Lower,Upper,Upper,Upper,6.81,7.11,7.41
319,ZonadefallasHuaynaputina,Lower,Upper,Upper,Upper,6.89,7.19,7.49
320,ZonadefallasIchuna,Lower,Upper,Upper,Upper,7.32,7.62,7.92
321,ZonadefallasPastoGrande,Lower,Upper,Upper,Upper,7.08,7.38,7.68
322,ZonadefallasTicsani-Suches,Lower,Upper,Upper,Upper,6.95,7.25,7.55
323,FallaPurgatorio,Lower,Pref,Upper,Upper,7.0,7.3,7.6
324,FallaIncapuquio,Lower,Pref,Upper,Upper,7.25,7.55,7.85
325,FallaMicalaco,Lower,Pref,Upper,Upper,6.77,7.07,7.37
326,FallaCerroRocoso,Lower,Pref,Upper,Upper,6.37,6.67,6.97
327,FallaChascoso,Lower,Pref,Upper,Upper,6.0,6.3,6.6
328,FallaChololo,Lower,Pref,Upper,Upper,7.08,7.38,7.68
